"","X","id","gender","word","v","c1","c2","syldur","cdur","vdur","precbound","folbound","speechrate","fromstart","fromend","speaker","func","folacc","voic"
"19",21,"1086_si_tu","M","si","i","s","t",161,120,31,"2","-",5.81504,0,6,"M02R","f",FALSE,TRUE
"20",22,"1089_si_tu","M","si","i","s","t",123,113,0,"2","-",5.89191,0,3,"M02L","f",FALSE,FALSE
"21",23,"108_soudaine","F","soudaine","u","s","d",145,110,25,"-","2",5.80336,2,1,"F14L","c",TRUE,TRUE
"22",24,"109_accoutumance","F","accoutumance","u","k","t",133,87,36,"-","1",7.52854,1,2,"F03L","c",FALSE,TRUE
"23",25,"109_tu_te","F","tu","y","t","t",125,66,49,"2","-",5.65342,0,2,"F16L","f",FALSE,TRUE
"24",26,"10_soudée","F","soudée","u","s","d",180,132,38,"-","-",6.34373,2,3,"F16L","c",FALSE,TRUE
"25",27,"10_tu_te","M","tu","y","t","t",177,99,68,"-","-",6.23,1,1,"M15R","f",TRUE,TRUE
"26",28,"1100_si_personne","F","si","i","s","p",139,107,22,"1","-",4.98225,0,2,"F04L","f",FALSE,TRUE
"27",29,"1105_qui_te","F","qui","i","k","t",101,81,10,"1","-",6.9176,0,7,"F08L","f",FALSE,TRUE
"28",30,"1110_qui_disait","F","qui","i","k","d",162,126,26,"-","-",7.48449,1,2,"F05L","f",FALSE,TRUE
"29",31,"1114_qui_monte","M","qui","i","k","m",147,118,19,"1","-",5.73894,0,1,"M11L","f",TRUE,TRUE
"30",33,"111_tu_prends","F","tu","y","t","p",146,118,18,"-","-",6.93145,1,4,"F08L","f",FALSE,TRUE
"31",34,"1128_si_tu","F","si","i","s","t",61,51,0,"2","-",5.42393,0,4,"F16R","f",FALSE,FALSE
"32",35,"1135_si_t_","M","si","i","s","t",163,118,35,"2","-",5.461,0,2,"M02L","f",FALSE,TRUE
"33",36,"1138_qui_contrôle","M","qui","i","k","k",81,71,0,"1","-",5.40988,0,3,"M23R","f",FALSE,FALSE
"34",37,"1148_qui_ne","F","qui","i","k","n",140,96,34,"2","-",6.45563,0,3,"F07R","f",FALSE,TRUE
"35",39,"114_tu_peux","F","tu","y","t","p",126,86,30,"1","-",10.02965,0,7,"F06L","f",FALSE,TRUE
"36",40,"1156_qui_me","M","qui","i","k","m",166,156,0,"1","-",6.19047,0,2,"M01L","f",FALSE,FALSE
"37",42,"1162_si_tu","M","si","i","s","t",133,90,33,"2","-",5.74749,0,3,"M21R","f",FALSE,TRUE
"38",43,"1165_qui_passe","M","qui","i","k","p",137,77,50,"-","-",4.55072,1,2,"M11R","f",FALSE,TRUE
"39",44,"116_couture","F","couture","u","k","t",188,153,25,"-","2",4.88567,2,1,"F12L","c",TRUE,TRUE
"40",45,"117_documents","F","documents","y","k","m",161,128,23,"-","1",6.59487,3,1,"F12L","c",TRUE,TRUE
"41",46,"1200_qui_prêtent","F","qui","i","k","p",149,114,25,"-","-",4.30325,1,1,"F12L","f",TRUE,TRUE
"42",48,"1211_qui_peut","M","qui","i","k","p",92,57,25,"2","-",7.41219,0,4,"M19L","f",FALSE,TRUE
"43",49,"1219_qui_profitent","M","qui","i","k","p",89,64,15,"1","-",6.36923,0,2,"M18L","f",FALSE,TRUE
"44",50,"121_tutorat","F","tutorat","y","t","t",169,109,50,"-","1",7.3848,1,2,"F10L","c",FALSE,TRUE
"45",51,"1221_si_tes","M","si","i","s","t",94,84,0,"1","-",8.29822,0,4,"M21L","f",FALSE,FALSE
"46",52,"1224_si_toi","F","si","i","s","t",97,87,0,"2","-",6.50679,0,1,"F16R","f",TRUE,FALSE
"47",53,"1229_qui_t_","F","qui","i","k","t",88,78,0,"1","-",4.65341,0,3,"F14L","f",FALSE,FALSE
"48",54,"122_super","F","super","y","s","p",244,182,52,"-","2",3.39333,1,1,"F12L","c",TRUE,TRUE
"49",55,"122_tu_prends","F","tu","y","t","p",93,83,0,"2","-",6.56245,0,6,"F08R","f",FALSE,FALSE
"50",56,"123_super","F","super","y","s","p",154,125,19,"-","2",6.91142,4,1,"F04R","c",TRUE,TRUE
"51",57,"1249_si_tu","F","si","i","s","t",74,64,0,"1","-",7.68812,0,10,"F16R","f",FALSE,FALSE
"52",58,"124_coupé","F","coupé","u","k","p",142,99,33,"-","2",9.83344,3,1,"F16L","c",TRUE,TRUE
"53",59,"124_qui_te","M","qui","i","k","t",105,45,50,"2","-",4.48629,0,3,"M18R","f",FALSE,TRUE
"54",60,"1258_si_tu","F","si","i","s","t",163,111,42,"2","-",4.21805,0,2,"F16R","f",FALSE,TRUE
"55",61,"125_tu_payes","M","tu","y","t","p",117,107,0,"1","-",7.85886,0,2,"M15R","f",FALSE,FALSE
"56",62,"1260_qui_critiquent","F","qui","i","k","k",166,156,0,"-","-",5.31707,2,2,"F16R","f",FALSE,FALSE
"57",63,"126_possibilités","M","possibilités","i","s","b",169,105,54,"-","2",7.53652,2,4,"M18L","c",FALSE,TRUE
"58",64,"127_cité","F","cité","i","s","t",237,188,39,"-","2",6.72831,1,2,"F13L","c",FALSE,TRUE
"59",65,"1283_qui_collent","M","qui","i","k","k",190,134,46,"2","-",5.02558,0,1,"M15R","f",TRUE,TRUE
"60",66,"128_écoutais","M","écoutais","u","k","t",173,123,40,"-","2",5.5886,2,1,"M01L","c",TRUE,TRUE
"61",67,"128_qui_te","M","qui","i","k","t",90,42,38,"1","-",2.6394,0,1,"M19R","f",TRUE,TRUE
"62",68,"1292_qui_dit","M","qui","i","k","d",162,116,36,"2","-",7.41124,0,1,"M15R","f",TRUE,TRUE
"63",69,"1296_qui_devraient","F","qui","i","k","d",57,47,0,"1","-",9.07388,0,6,"F08L","f",FALSE,FALSE
"64",70,"129_soutenaient","M","soutenaient","u","s","t",185,139,36,"-","1",4.59446,1,1,"M02L","c",TRUE,TRUE
"65",72,"1300_qui_te","F","qui","i","k","t",72,62,0,"2","-",4.04688,0,1,"F14R","f",TRUE,FALSE
"66",73,"1301_si_tu","F","si","i","s","t",143,133,0,"2","-",6.85761,0,3,"F16R","f",FALSE,FALSE
"67",74,"1313_qui_marque","M","qui","i","k","m",158,148,0,"2","-",5.89484,0,1,"M02R","f",TRUE,FALSE
"68",75,"131_supporte","F","supporte","y","s","p",115,105,0,"-","-",10.01192,1,3,"F13R","c",FALSE,FALSE
"69",76,"1320_qui_boivent","M","qui","i","k","b",87,58,19,"1","-",6.1247,0,1,"M21L","f",TRUE,TRUE
"70",77,"1328_si_tu","M","si","i","s","t",200,171,19,"2","-",5.74565,0,4,"M11L","f",FALSE,TRUE
"71",78,"132_tu_dois","M","tu","y","t","d",148,138,0,"1","-",5.35471,0,2,"M23R","f",FALSE,FALSE
"72",79,"133_si_tu","M","si","i","s","t",166,107,49,"2","-",5.14651,0,4,"M21R","f",FALSE,TRUE
"73",80,"1348_si_tu","M","si","i","s","t",135,99,26,"1","-",6.62683,0,2,"M22L","f",FALSE,TRUE
"74",81,"1351_si_tu","M","si","i","s","t",128,118,0,"2","-",8.05364,0,10,"M20L","f",FALSE,FALSE
"75",82,"1355_qui_connaissent","M","qui","i","k","k",95,85,0,"1","-",6.76599,0,8,"M20L","f",FALSE,FALSE
"76",83,"1357_qui_partent","F","qui","i","k","p",132,78,44,"1","-",8.89768,0,1,"F16L","f",TRUE,TRUE
"77",84,"135_super","M","super","y","s","p",102,92,0,"-","-",6.8254,5,4,"M15R","c",FALSE,FALSE
"78",85,"1360_si_du","F","si","i","s","d",249,190,49,"2","-",5.01776,0,5,"F16R","f",FALSE,TRUE
"79",86,"1363_qui_pose","M","qui","i","k","p",122,98,14,"1","-",7.22623,0,4,"M22R","f",FALSE,TRUE
"80",87,"1367_si_t_","M","si","i","s","t",128,63,55,"-","-",10.11763,1,4,"M11R","f",FALSE,TRUE
"81",89,"1375_qui_gouvernent","M","qui","i","k","g",77,36,31,"-","-",8.87804,2,2,"M02L","f",FALSE,TRUE
"82",90,"1378_si_tu","M","si","i","s","t",144,96,38,"2","-",6.50077,0,2,"M11R","f",FALSE,TRUE
"83",91,"137_qui_peut","M","qui","i","k","p",53,43,0,"1","-",8.81843,0,4,"M17R","f",FALSE,FALSE
"84",92,"1381_si_tu","F","si","i","s","t",116,106,0,"2","-",8.79228,0,2,"F16L","f",FALSE,FALSE
"85",93,"1384_si_tu","M","si","i","s","t",134,124,0,"1","-",6.85619,0,2,"M17R","f",FALSE,FALSE
"86",94,"138_soupiré","F","soupiré","u","s","p",155,145,0,"-","1",5.88389,2,2,"F16R","c",FALSE,FALSE
"87",95,"138_tu_peux","M","tu","y","t","p",137,104,23,"1","-",8.1254,0,4,"M22L","f",FALSE,TRUE
"88",96,"1397_si_quand","F","si","i","s","k",188,178,0,"1","-",6.00188,0,3,"F14R","f",FALSE,FALSE
"89",98,"139_qui_te","F","qui","i","k","t",92,71,11,"1","-",4.87335,0,2,"F12L","f",FALSE,TRUE
"90",99,"1408_si_tu","M","si","i","s","t",92,82,0,"-","-",9.64264,1,7,"M23R","f",FALSE,FALSE
"91",100,"1409_qui_dit","M","qui","i","k","d",108,62,36,"1","-",4.78441,0,1,"M21R","f",TRUE,TRUE
"92",101,"1410_si_tu","M","si","i","s","t",103,93,0,"2","-",6.52043,0,5,"M18R","f",FALSE,FALSE
"93",102,"141_tu_culpabilises","M","tu","y","t","k",136,74,52,"-","-",8.84367,2,4,"M22R","f",FALSE,TRUE
"94",103,"1421_qui_me","F","qui","i","k","m",70,37,23,"1","-",5.67558,0,1,"F07L","f",TRUE,TRUE
"95",104,"1430_qui_nous","F","qui","i","k","n",117,86,21,"1","-",6.32103,0,3,"F16R","f",FALSE,TRUE
"96",105,"1432_qui_peuvent","F","qui","i","k","p",153,140,3,"-","-",5.62249,1,4,"F06R","f",FALSE,TRUE
"97",106,"1439_qui_donne","M","qui","i","k","d",89,64,15,"1","-",7.14184,0,6,"M23R","f",FALSE,TRUE
"98",107,"143_possibilité","F","possibilité","i","s","b",142,119,13,"-","1",7.07682,4,3,"F05R","c",FALSE,TRUE
"99",108,"1441_qui_traînent","M","qui","i","k","t",100,25,65,"1","-",5.10774,0,1,"M11R","f",TRUE,TRUE
"100",110,"1452_qui_pouvait","M","qui","i","k","p",88,52,26,"1","-",6.31434,0,2,"M19L","f",FALSE,TRUE
"101",111,"1454_si_tu","M","si","i","s","t",146,109,27,"-","-",8.75486,1,5,"M17R","f",FALSE,TRUE
"102",112,"145_si_tu","M","si","i","s","t",93,83,0,"1","-",6.89562,0,5,"M20L","f",FALSE,FALSE
"103",113,"1461_si_tu","F","si","i","s","t",127,94,23,"1","-",6.13139,0,9,"F07L","f",FALSE,TRUE
"104",114,"146_tu_nous","F","tu","y","t","n",109,81,18,"2","-",5.45633,0,4,"F06R","f",FALSE,TRUE
"105",116,"147_tu_comprends","M","tu","y","t","k",91,62,19,"2","-",7.71832,0,2,"M02R","f",FALSE,TRUE
"106",117,"148_qui_gueulent","F","qui","i","k","g",202,147,45,"1","-",5.38832,0,1,"F06R","f",TRUE,TRUE
"107",118,"14_tu_peux","M","tu","y","t","p",77,42,25,"2","-",9.45072,0,5,"M02L","f",FALSE,TRUE
"108",120,"150_tu_me","M","tu","y","t","m",138,95,33,"1","-",5.686,0,2,"M18L","f",FALSE,TRUE
"109",122,"151_tu_te","F","tu","y","t","t",101,47,44,"2","-",8.04191,0,3,"F07R","f",FALSE,TRUE
"110",123,"152_soudée","M","soudée","u","s","d",183,151,22,"-","2",7.5033,3,1,"M15R","c",TRUE,TRUE
"111",124,"152_tu_ne","F","tu","y","t","n",144,112,22,"2","-",6.86541,0,2,"F03R","f",FALSE,TRUE
"112",125,"153_super","M","super","y","s","p",121,111,0,"-","-",7.28299,1,2,"M21L","c",FALSE,FALSE
"113",126,"155_qui_présentaient","M","qui","i","k","p",174,164,0,"2","-",7.73558,0,3,"M23L","f",FALSE,FALSE
"114",127,"155_soumis","M","soumis","u","s","m",181,171,0,"-","2",5.74755,5,1,"M23L","c",TRUE,FALSE
"115",128,"156_super","M","super","y","s","p",159,149,0,"-","-",7.75362,2,6,"M22L","c",FALSE,FALSE
"116",131,"158_tu_te","M","tu","y","t","t",84,74,0,"-","-",7.41634,3,5,"M01R","f",FALSE,FALSE
"117",132,"15_décider","F","décider","i","s","d",120,82,28,"1","-",6.64216,1,4,"F16R","c",FALSE,TRUE
"118",133,"15_tu_connais","F","tu","y","t","k",97,87,0,"2","-",9.29365,0,2,"F12L","f",FALSE,FALSE
"119",134,"161_si_tous","M","si","i","s","t",157,120,27,"2","-",7.76431,0,4,"M02L","f",FALSE,TRUE
"120",135,"161_supers","M","supers","y","s","p",151,141,0,"-","-",7.21695,3,3,"M19R","c",FALSE,FALSE
"121",137,"164_tu_passes","M","tu","y","t","p",135,125,0,"1","-",6.73223,0,4,"M01L","f",FALSE,FALSE
"122",138,"166_tu_passes","F","tu","y","t","p",165,146,9,"2","-",7.07898,0,2,"F05R","f",FALSE,TRUE
"123",139,"167_tu_te","M","tu","y","t","t",97,87,0,"-","-",7.80041,1,4,"M18L","f",FALSE,FALSE
"124",141,"169_supprime","F","supprime","y","s","p",189,145,34,"-","1",6.393,2,1,"F16R","c",TRUE,TRUE
"125",142,"16_qui_partait","F","qui","i","k","p",158,125,23,"1","-",6.83081,0,3,"F06R","f",FALSE,TRUE
"126",143,"16_super","F","super","y","s","p",176,147,19,"-","-",6.49123,3,2,"F06L","c",FALSE,TRUE
"127",145,"171_coupé","F","coupé","u","k","p",113,93,10,"-","-",7.56757,3,3,"F13R","c",FALSE,TRUE
"128",146,"172_super","F","super","y","s","p",168,132,26,"-","1",7.50254,3,1,"F13L","c",TRUE,TRUE
"129",147,"173_assumer","M","assumer","y","s","m",123,113,0,"-","-",6.19696,2,2,"M19L","c",FALSE,FALSE
"130",148,"173_si_ma","M","si","i","s","m",189,158,21,"2","-",5.74455,0,2,"M20R","f",FALSE,TRUE
"131",150,"175_si_t_","M","si","i","s","t",137,115,12,"2","-",5.84906,0,2,"M01L","f",FALSE,TRUE
"132",151,"179_pertinentes","M","pertinentes","i","t","n",77,50,17,"-","2",7.82356,5,1,"M21L","c",TRUE,TRUE
"133",152,"179_tu_peux","F","tu","y","t","p",106,96,0,"2","-",6.16251,0,5,"F14R","f",FALSE,FALSE
"134",153,"17_qui_mangent","F","qui","i","k","m",83,58,15,"2","-",6.0981,0,3,"F05L","f",FALSE,TRUE
"135",155,"181_si_toi","F","si","i","s","t",129,119,0,"2","-",7.21936,0,1,"F14R","f",TRUE,FALSE
"136",156,"183_maximum","F","maximum","i","s","m",145,117,18,"-","2",5.42351,2,1,"F10R","c",TRUE,TRUE
"137",157,"184_considère","M","considère","i","s","d",158,110,38,"-","1",7.8303,2,1,"M15R","c",TRUE,TRUE
"138",158,"185_attitude","F","attitude","i","t","t",228,176,42,"1","1",3.63495,1,1,"F10L","c",TRUE,TRUE
"139",159,"185_tu_t_","M","tu","y","t","t",145,135,0,"2","-",6.61984,0,2,"M09R","f",FALSE,FALSE
"140",160,"186_tu_dois","M","tu","y","t","d",135,103,22,"2","-",6.40769,0,2,"M01R","f",FALSE,TRUE
"141",161,"187_critiquait","F","critiquait","i","t","k",133,105,18,"-","1",8.15442,2,1,"F10R","c",TRUE,TRUE
"142",162,"187_tu_travailles","M","tu","y","t","t",104,94,0,"2","-",8.9369,0,4,"M20L","f",FALSE,FALSE
"143",163,"188_tu_passes","M","tu","y","t","p",136,120,6,"-","-",7.33375,1,4,"M01L","f",FALSE,TRUE
"144",164,"189_cigarette","M","cigarette","i","s","g",112,102,0,"-","2",8.06127,2,2,"M22R","c",FALSE,FALSE
"145",166,"191_tu_devais","F","tu","y","t","d",120,86,24,"-","-",9.41751,1,6,"F13L","f",FALSE,TRUE
"146",167,"192_si_tu","F","si","i","s","t",146,136,0,"-","-",7.91673,3,3,"F06L","f",FALSE,FALSE
"147",168,"193_tu_crèves","F","tu","y","t","k",83,73,0,"1","-",4.75187,0,1,"F13R","f",TRUE,FALSE
"148",169,"194_qui_préparons","F","qui","i","k","p",115,73,32,"-","-",9.17642,2,3,"F16L","f",FALSE,TRUE
"149",170,"195_tu_peux","F","tu","y","t","p",151,110,31,"1","-",7.42077,0,6,"F12L","f",FALSE,TRUE
"150",171,"197_si_tu","M","si","i","s","t",139,97,32,"2","-",8.02068,0,5,"M17L","f",FALSE,TRUE
"151",172,"198_tu_conduis","F","tu","y","t","k",90,32,48,"-","-",7.15262,1,2,"F03L","f",FALSE,TRUE
"152",174,"199_tu_me","F","tu","y","t","m",62,19,33,"2","-",7.98532,0,5,"F16L","f",FALSE,TRUE
"153",175,"19_tu_peux","M","tu","y","t","p",88,78,0,"2","-",7.60985,0,2,"M17R","f",FALSE,FALSE
"154",177,"1_qui_nageaient","F","qui","i","k","n",226,161,55,"1","2",5.33041,0,2,"F04R","f",FALSE,TRUE
"155",178,"200_tu_peux","F","tu","y","t","p",81,51,20,"1","-",7.23005,0,5,"F16R","f",FALSE,TRUE
"156",179,"202_continué","M","continué","i","t","n",138,128,0,"-","-",7.12014,2,5,"M01R","c",FALSE,FALSE
"157",181,"204_occupation","M","occupation","y","k","p",114,98,6,"-","1",7.61957,7,2,"M19L","c",FALSE,TRUE
"158",182,"204_si_quelqu_un","F","si","i","s","k",141,110,21,"2","-",6.74081,0,6,"F10R","f",FALSE,TRUE
"159",183,"208_tu_penses","F","tu","y","t","p",96,86,0,"-","-",7.51448,2,1,"F16R","f",TRUE,FALSE
"160",184,"20_cigarette","M","cigarette","i","s","g",134,111,13,"-","-",7.34439,3,2,"M23R","c",FALSE,TRUE
"161",185,"211_si_tu","F","si","i","s","t",185,135,40,"2","-",6.07021,0,2,"F03R","f",FALSE,TRUE
"162",186,"212_étudié","M","étudié","y","t","d",169,137,22,"1","1",5.33149,1,1,"M15R","c",TRUE,TRUE
"163",187,"213_tu_peux","F","tu","y","t","p",39,29,0,"2","-",6.93367,0,3,"F05L","f",FALSE,FALSE
"164",189,"215_si_t_","M","si","i","s","t",201,146,45,"2","-",5.50409,0,4,"M01L","f",FALSE,TRUE
"165",190,"216_tu_passes","F","tu","y","t","p",120,110,0,"2","-",5.00543,0,4,"F06L","f",FALSE,FALSE
"166",191,"217_si_t_","M","si","i","s","t",169,126,33,"2","-",7.20049,0,4,"M11L","f",FALSE,TRUE
"167",192,"218_tu_peux","M","tu","y","t","p",118,108,0,"2","-",8.17065,0,2,"M17R","f",FALSE,FALSE
"168",193,"21_attitudes","F","attitudes","i","t","t",166,156,0,"-","1",5.09078,4,1,"F13R","c",TRUE,FALSE
"169",194,"21_tu_mettes","F","tu","y","t","m",91,57,24,"-","-",8.12363,1,4,"F13R","f",FALSE,TRUE
"170",195,"220_récupéré","F","récupéré","y","k","p",141,97,34,"-","1",7.67745,2,2,"F12R","c",FALSE,TRUE
"171",196,"223_superficielle","M","superficielle","y","s","p",106,75,21,"-","2",6.87794,2,3,"M15L","c",FALSE,TRUE
"172",197,"223_tu_t_","M","tu","y","t","t",71,61,0,"1","-",9.72608,0,9,"M17R","f",FALSE,FALSE
"173",198,"224_étudiante","M","étudiante","y","t","d",170,135,25,"1","1",4.96204,1,1,"M09L","c",TRUE,TRUE
"174",199,"225_cigarette","M","cigarette","i","s","g",134,124,0,"-","1",6.94621,1,2,"M21R","c",FALSE,FALSE
"175",200,"226_tu_peux","M","tu","y","t","p",127,117,0,"2","-",6.29312,0,2,"M02R","f",FALSE,FALSE
"176",201,"227_soutenue","M","soutenue","u","s","t",129,101,18,"-","2",8.14575,4,1,"M11L","c",TRUE,TRUE
"177",202,"228_tu_peux","F","tu","y","t","p",100,90,0,"-","-",8.22364,1,5,"F07R","f",FALSE,FALSE
"178",203,"229_tu_te","F","tu","y","t","t",69,31,28,"2","-",5.23425,0,2,"F03L","f",FALSE,TRUE
"179",205,"230_si_tu","M","si","i","s","t",67,57,0,"2","-",8.94152,0,3,"M20R","f",FALSE,FALSE
"180",206,"231_tu_penses","M","tu","y","t","p",116,106,0,"1","-",7.12966,0,3,"M21L","f",FALSE,FALSE
"181",207,"233_tu_perds","F","tu","y","t","p",125,110,5,"2","-",6.95422,0,3,"F03L","f",FALSE,TRUE
"182",208,"234_tu_mets","F","tu","y","t","m",86,68,8,"1","-",5.51691,0,3,"F12L","f",FALSE,TRUE
"183",209,"235_tuteurs","F","tuteurs","y","t","t",149,139,0,"-","2",5.22949,1,1,"F10L","c",TRUE,FALSE
"184",212,"239_tu_peux","F","tu","y","t","p",90,52,28,"2","-",7.78781,0,2,"F12L","f",FALSE,TRUE
"185",213,"23_supporters","M","supporters","y","s","p",132,108,14,"-","-",6.56723,3,2,"M23L","c",FALSE,TRUE
"186",215,"241_psychologique","F","psychologique","i","s","k",128,118,0,"-","-",9.12759,3,5,"F07L","c",FALSE,FALSE
"187",216,"241_tu_peux","F","tu","y","t","p",78,68,0,"1","-",8.38426,0,4,"F12L","f",FALSE,FALSE
"188",217,"243_supporters","M","supporters","y","s","p",107,97,0,"-","-",6.05705,1,4,"M23L","c",FALSE,FALSE
"189",218,"243_tu_préfères","F","tu","y","t","p",131,81,40,"-","-",4.83644,1,2,"F03R","f",FALSE,TRUE
"190",219,"245_cigarettes","F","cigarettes","i","s","g",146,109,27,"-","2",7.51964,3,2,"F05L","c",FALSE,TRUE
"191",220,"246_si_tout","F","si","i","s","t",114,104,0,"2","-",5.72064,0,3,"F05L","f",FALSE,FALSE
"192",221,"249_soutien","M","soutien","u","s","t",143,133,0,"-","2",6.29137,3,2,"M02L","c",FALSE,FALSE
"193",222,"24_récupéré","M","récupéré","y","k","p",169,131,28,"-","1",6.61464,4,2,"M15R","c",FALSE,TRUE
"194",223,"24_si_t_","F","si","i","s","t",109,69,30,"2","-",7.81769,0,7,"F03L","f",FALSE,TRUE
"195",224,"250_tu_pousserais","F","tu","y","t","p",121,90,21,"2","-",7.74934,0,2,"F16L","f",FALSE,TRUE
"196",225,"253_qui_mordent","F","qui","i","k","m",160,136,14,"-","-",4.68047,2,1,"F03R","f",TRUE,TRUE
"197",226,"255_tu_me","M","tu","y","t","m",97,65,22,"-","-",6.34538,1,4,"M18R","f",FALSE,TRUE
"198",227,"256_tu_te","M","tu","y","t","t",125,115,0,"2","-",5.73718,0,1,"M18L","f",TRUE,FALSE
"199",228,"258_tu_préfères","F","tu","y","t","p",91,64,17,"2","-",6.71631,0,7,"F08L","f",FALSE,TRUE
"200",229,"259_centimètres","F","centimètres","i","t","m",140,78,52,"-","2",5.31484,2,1,"F03L","c",TRUE,TRUE
"201",231,"260_tu_peux","F","tu","y","t","p",121,111,0,"2","-",6.13023,0,6,"F07L","f",FALSE,FALSE
"202",232,"261_supporters","M","supporters","y","s","p",123,113,0,"-","-",7.19105,1,5,"M23L","c",FALSE,FALSE
"203",233,"261_tu_te","F","tu","y","t","t",126,83,33,"-","-",5.98058,4,2,"F05L","f",FALSE,TRUE
"204",234,"262_tu_payes","M","tu","y","t","p",64,54,0,"2","-",8.22423,0,2,"M18L","f",FALSE,FALSE
"205",235,"269_tu_te","M","tu","y","t","t",124,114,0,"-","-",6.48655,1,6,"M01R","f",FALSE,FALSE
"206",236,"26_tu_t_","M","tu","y","t","t",110,83,17,"2","-",5.80077,0,2,"M23L","f",FALSE,TRUE
"207",237,"271_tu_pars","F","tu","y","t","p",60,50,0,"2","-",9.28804,0,4,"F13L","f",FALSE,FALSE
"208",238,"272_qui_par","M","qui","i","k","p",96,86,0,"1","-",6.75885,0,2,"M21L","f",FALSE,FALSE
"209",239,"273_si_t_","M","si","i","s","t",148,114,24,"2","-",6.57815,0,5,"M01L","f",FALSE,TRUE
"210",240,"273_soutien","M","soutien","u","s","t",161,132,19,"-","1",4.88918,1,1,"M15R","c",TRUE,TRUE
"211",241,"275_tu_peux","F","tu","y","t","p",143,115,18,"2","-",8.43043,0,3,"F05R","f",FALSE,TRUE
"212",242,"276_tu_te","F","tu","y","t","t",102,64,28,"2","-",8.83319,0,3,"F07L","f",FALSE,TRUE
"213",243,"279_critiquait","F","critiquait","i","t","k",116,76,30,"-","2",8.36265,3,1,"F10R","c",TRUE,TRUE
"214",244,"27_titi","M","titi","i","t","t",180,129,41,"-","2",6.00372,2,1,"M02R","c",TRUE,TRUE
"215",245,"280_situation","M","situation","i","s","t",147,126,11,"-","1",5.5533,3,2,"M21R","c",FALSE,TRUE
"216",246,"282_étudiants","F","étudiants","y","t","d",149,124,15,"-","2",7.63761,4,1,"F12L","c",TRUE,TRUE
"217",247,"283_qui_tu","M","qui","i","k","t",80,65,5,"-","-",7.80494,2,2,"M23L","f",FALSE,TRUE
"218",248,"284_cigarette","M","cigarette","i","s","g",96,86,0,"-","2",6.25643,2,1,"M11R","c",TRUE,FALSE
"219",249,"286_occuper","F","occuper","y","k","p",109,64,35,"1","-",8.61148,1,2,"F16L","c",FALSE,TRUE
"220",251,"289_si_tous","M","si","i","s","t",157,130,17,"2","-",7.71807,0,3,"M23L","f",FALSE,TRUE
"221",252,"28_qui_t_","M","qui","i","k","t",155,145,0,"1","-",7.0264,0,2,"M17R","f",FALSE,FALSE
"222",253,"290_tu_te","M","tu","y","t","t",152,142,0,"2","-",7.36277,0,1,"M02R","f",TRUE,FALSE
"223",254,"291_qui_nous","F","qui","i","k","n",76,66,0,"1","-",6.76624,0,4,"F06L","f",FALSE,FALSE
"224",255,"293_considéré","M","considéré","i","s","d",141,99,32,"-","1",9.5864,6,2,"M19L","c",FALSE,TRUE
